family_id,dataset,image_id,category_id,category_name,prompt,is_prompt_absent,num_candidates,num_rejected,fp,tp,fdp
lvis:1000:31:110,lvis,1000,31,baboon,baboon,True,30,0,0,0,0.0
lvis:1000:532:109,lvis,1000,532,hamper,hamper,True,38,0,0,0,0.0
lvis:1000:968:108,lvis,1000,968,skirt,skirt,False,55,0,0,0,0.0
lvis:1011:664:116,lvis,1011,664,mammoth,mammoth,True,48,0,0,0,0.0
lvis:1146:88:123,lvis,1146,88,belt,belt,False,15,0,0,0,0.0
lvis:1204:151:128,lvis,1204,151,breechcloth,breechcloth,True,17,0,0,0,0.0
lvis:1204:270:127,lvis,1204,270,cloak,cloak,True,28,0,0,0,0.0
lvis:1204:630:126,lvis,1204,630,lanyard,lanyard,False,42,0,0,0,0.0
lvis:1205:397:130,lvis,1205,397,drone,drone,True,28,0,0,0,0.0
lvis:1205:764:131,lvis,1205,764,parchment,parchment,True,51,0,0,0,0.0
lvis:1224:491:134,lvis,1224,491,gemstone,gemstone,True,47,0,0,0,0.0
lvis:1224:667:132,lvis,1224,667,manger,manger,False,12,0,0,0,0.0
lvis:1295:869:140,lvis,1295,869,rag_doll,rag_doll,True,22,0,0,0,0.0
lvis:1295:886:139,lvis,1295,886,river_boat,river_boat,True,11,0,0,0,0.0
lvis:1296:532:143,lvis,1296,532,hamper,hamper,True,14,0,0,0,0.0
lvis:1323:225:144,lvis,1323,225,cat,cat,False,5,0,0,0,0.0
lvis:1323:805:146,lvis,1323,805,pin_(non_jewelry),pin_(non_jewelry),True,9,0,0,0,0.0
lvis:1353:733:149,lvis,1353,733,omelet,omelet,True,23,0,0,0,0.0
lvis:1353:975:148,lvis,1353,975,snake,snake,True,25,0,0,0,0.0
lvis:1375:1157:152,lvis,1375,1157,walrus,walrus,True,12,0,0,0,0.0
lvis:1375:688:151,lvis,1375,688,milestone,milestone,True,46,0,0,0,0.0
lvis:1393:1139:153,lvis,1393,1139,vase,vase,False,13,0,0,0,0.0
lvis:1393:1144:154,lvis,1393,1144,vinegar,vinegar,True,6,0,0,0,0.0
lvis:139:167:10,lvis,139,167,bulletproof_vest,bulletproof_vest,True,17,0,0,0,0.0
lvis:139:61:9,lvis,139,61,basket,basket,False,6,0,0,0,0.0
lvis:1404:317:157,lvis,1404,317,coverall,coverall,True,12,0,0,0,0.0
lvis:1404:632:158,lvis,1404,632,lasagna,lasagna,True,11,0,0,0,0.0
lvis:1404:982:156,lvis,1404,982,sofa,sofa,False,1,0,0,0,0.0
lvis:1425:237:159,lvis,1425,237,checkbook,checkbook,True,14,0,0,0,0.0
lvis:1425:755:160,lvis,1425,755,papaya,papaya,True,3,0,0,0,0.0
lvis:1464:648:163,lvis,1464,648,limousine,limousine,True,12,0,0,0,0.0
lvis:1464:722:162,lvis,1464,722,nosebag_(for_animals),nosebag_(for_animals),True,24,0,0,0,0.0
lvis:1464:967:161,lvis,1464,967,ski_pole,ski_pole,False,10,0,0,0,0.0
lvis:1490:202:166,lvis,1490,202,canteen,canteen,True,25,0,0,0,0.0
lvis:1490:745:164,lvis,1490,745,paddle,paddle,False,5,0,0,0,0.0
lvis:1496:142:168,lvis,1496,142,bowling_ball,bowling_ball,True,6,0,0,0,0.0
lvis:1496:407:169,lvis,1496,407,dustpan,dustpan,True,1,0,0,0,0.0
lvis:1496:445:167,lvis,1496,445,fireplug,fireplug,False,5,0,0,0,0.0
lvis:1507:662:177,lvis,1507,662,mallard,mallard,True,10,0,0,0,0.0
lvis:1507:912:176,lvis,1507,912,sandwich,sandwich,False,3,0,0,0,0.0
lvis:1522:338:179,lvis,1522,338,crumb,crumb,False,72,0,0,0,0.0
lvis:1522:479:181,lvis,1522,479,funnel,funnel,True,22,0,0,0,0.0
lvis:1523:1112:182,lvis,1523,1112,traffic_light,traffic_light,False,25,0,0,0,0.0
lvis:1523:852:183,lvis,1523,852,puffin,puffin,True,14,0,0,0,0.0
lvis:1523:994:184,lvis,1523,994,spear,spear,True,38,0,0,0,0.0
lvis:1532:307:187,lvis,1532,307,corkboard,corkboard,True,24,0,0,0,0.0
lvis:1532:664:186,lvis,1532,664,mammoth,mammoth,True,25,0,0,0,0.0
lvis:154:892:14,lvis,154,892,Rollerblade,Rollerblade,True,7,0,0,0,0.0
lvis:1584:32:188,lvis,1584,32,baby_buggy,baby_buggy,False,11,0,0,0,0.0
lvis:1591:244:192,lvis,1591,244,chime,chime,True,49,0,0,0,0.0
lvis:1591:542:193,lvis,1591,542,hardback_book,hardback_book,True,15,0,0,0,0.0
lvis:1591:749:191,lvis,1591,749,pajamas,pajamas,False,31,0,0,0,0.0
lvis:1622:292:195,lvis,1622,292,combination_lock,combination_lock,True,19,0,0,0,0.0
lvis:1622:378:194,lvis,1622,378,dog,dog,False,1,0,0,0,0.0
lvis:1622:942:196,lvis,1622,942,shears,shears,True,18,0,0,0,0.0
lvis:165:301:17,lvis,165,301,sofa_bed,sofa_bed,True,8,0,0,0,0.0
lvis:1674:883:201,lvis,1674,883,rib_(food),rib_(food),True,24,0,0,0,0.0
lvis:1674:972:202,lvis,1674,972,sling_(bandage),sling_(bandage),True,13,0,0,0,0.0
lvis:1675:296:203,lvis,1675,296,computer_keyboard,computer_keyboard,False,8,0,0,0,0.0
lvis:1675:754:205,lvis,1675,754,pantyhose,pantyhose,True,33,0,0,0,0.0
lvis:1675:849:204,lvis,1675,849,prune,prune,True,5,0,0,0,0.0
lvis:1681:535:207,lvis,1681,535,hand_glass,hand_glass,True,34,0,0,0,0.0
lvis:1681:992:208,lvis,1681,992,sparkler_(fireworks),sparkler_(fireworks),True,66,0,0,0,0.0
lvis:1697:1156:209,lvis,1697,1156,wallet,wallet,False,1,0,0,0,0.0
lvis:1818:1202:218,lvis,1818,1202,zebra,zebra,False,7,0,0,0,0.0
lvis:1818:638:220,lvis,1818,638,legume,legume,True,29,0,0,0,0.0
lvis:1837:969:222,lvis,1837,969,skullcap,skullcap,True,18,0,0,0,0.0
lvis:1869:422:224,lvis,1869,422,elephant,elephant,False,12,0,0,0,0.0
lvis:1903:518:229,lvis,1903,518,grits,grits,True,15,0,0,0,0.0
lvis:1903:657:228,lvis,1903,657,machine_gun,machine_gun,True,6,0,0,0,0.0
lvis:1993:147:232,lvis,1993,147,brass_plaque,brass_plaque,True,57,0,0,0,0.0
lvis:1993:626:230,lvis,1993,626,lamp,lamp,False,19,0,0,0,0.0
lvis:2014:672:237,lvis,2014,672,mascot,mascot,True,9,0,0,0,0.0
lvis:2014:94:236,lvis,2014,94,bicycle,bicycle,False,19,0,0,0,0.0
lvis:2055:572:240,lvis,2055,572,hotplate,hotplate,True,32,0,0,0,0.0
lvis:2055:822:241,lvis,2055,822,plow_(farm_equipment),plow_(farm_equipment),True,8,0,0,0,0.0
lvis:2061:21:244,lvis,2061,21,armor,armor,True,28,0,0,0,0.0
lvis:2061:240:243,lvis,2061,240,chessboard,chessboard,True,34,0,0,0,0.0
lvis:2061:570:242,lvis,2061,570,hose,hose,False,8,0,0,0,0.0
lvis:2149:139:245,lvis,2149,139,bowl,bowl,False,6,0,0,0,0.0
lvis:2153:560:250,lvis,2153,560,hippopotamus,hippopotamus,True,16,0,0,0,0.0
lvis:2153:595:248,lvis,2153,595,jersey,jersey,False,27,0,0,0,0.0
lvis:2157:582:252,lvis,2157,582,ice_pack,ice_pack,True,29,0,0,0,0.0
lvis:2157:872:251,lvis,2157,872,raspberry,raspberry,False,90,0,0,0,0.0
