family_id,dataset,image_id,category_id,category_name,prompt,is_prompt_absent,num_candidates,num_rejected,fp,tp,fdp
openimages:100:404:83,openimages,100,404,Vehicle,Vehicle,False,2,0,0,0,0.0
openimages:101:468:84,openimages,101,468,Airplane,Airplane,False,3,0,0,0,0.0
openimages:106:446:85,openimages,106,446,Dog,Dog,False,1,0,0,0,0.0
openimages:108:124:86,openimages,108,124,Juice,Juice,False,5,0,0,0,0.0
openimages:10:69:8,openimages,10,69,Person,Person,False,14,0,0,0,0.0
openimages:110:456:87,openimages,110,456,Flower,Flower,False,21,0,0,0,0.0
openimages:111:433:88,openimages,111,433,Clothing,Clothing,False,6,0,0,0,0.0
openimages:112:571:89,openimages,112,571,Car,Car,False,36,0,0,0,0.0
openimages:114:409:91,openimages,114,409,Wheel,Wheel,False,10,0,0,0,0.0
openimages:119:433:94,openimages,119,433,Clothing,Clothing,False,36,0,0,0,0.0
openimages:120:456:95,openimages,120,456,Flower,Flower,False,19,0,0,0,0.0
openimages:122:409:97,openimages,122,409,Wheel,Wheel,False,15,0,0,0,0.0
openimages:123:434:98,openimages,123,434,Footwear,Footwear,False,4,0,0,0,0.0
openimages:12:446:10,openimages,12,446,Dog,Dog,False,1,0,0,0,0.0
openimages:130:80:103,openimages,130,80,Balloon,Balloon,False,7,0,0,0,0.0
openimages:135:122:106,openimages,135,122,Cat,Cat,False,2,0,0,0,0.0
openimages:138:391:107,openimages,138,391,Tree,Tree,False,42,0,0,0,0.0
openimages:139:314:108,openimages,139,314,Baked goods,Baked goods,False,14,0,0,0,0.0
openimages:13:203:11,openimages,13,203,Fruit,Fruit,False,28,0,0,0,0.0
openimages:140:292:109,openimages,140,292,Human head,Human head,False,3,0,0,0,0.0
openimages:141:91:110,openimages,141,91,Carnivore,Carnivore,False,13,0,0,0,0.0
openimages:144:69:112,openimages,144,69,Person,Person,False,180,0,0,0,0.0
openimages:145:504:113,openimages,145,504,Vegetable,Vegetable,False,18,0,0,0,0.0
openimages:147:71:115,openimages,147,71,Swimwear,Swimwear,False,20,0,0,0,0.0
openimages:149:334:117,openimages,149,334,Plant,Plant,False,4,0,0,0,0.0
openimages:14:571:12,openimages,14,571,Car,Car,False,6,0,0,0,0.0
openimages:151:462:119,openimages,151,462,Building,Building,False,7,0,0,0,0.0
openimages:152:446:120,openimages,152,446,Dog,Dog,False,1,0,0,0,0.0
openimages:153:456:121,openimages,153,456,Flower,Flower,False,12,0,0,0,0.0
openimages:155:288:123,openimages,155,288,Lynx,Lynx,False,3,0,0,0,0.0
openimages:159:193:126,openimages,159,193,Food,Food,False,19,0,0,0,0.0
openimages:15:433:13,openimages,15,433,Clothing,Clothing,False,13,0,0,0,0.0
openimages:161:462:127,openimages,161,462,Building,Building,False,1,0,0,0,0.0
openimages:164:502:129,openimages,164,502,Human face,Human face,False,5,0,0,0,0.0
openimages:168:148:132,openimages,168,148,Human mouth,Human mouth,False,14,0,0,0,0.0
openimages:169:381:133,openimages,169,381,Television,Television,False,32,0,0,0,0.0
openimages:16:193:14,openimages,16,193,Food,Food,False,3,0,0,0,0.0
openimages:171:446:135,openimages,171,446,Dog,Dog,False,1,0,0,0,0.0
openimages:175:446:138,openimages,175,446,Dog,Dog,False,1,0,0,0,0.0
openimages:176:409:139,openimages,176,409,Wheel,Wheel,False,4,0,0,0,0.0
openimages:178:292:141,openimages,178,292,Human head,Human head,False,6,0,0,0,0.0
openimages:179:193:142,openimages,179,193,Food,Food,False,10,0,0,0,0.0
openimages:17:221:15,openimages,17,221,Human leg,Human leg,False,6,0,0,0,0.0
openimages:185:210:146,openimages,185,210,Fox,Fox,False,8,0,0,0,0.0
openimages:188:298:149,openimages,188,298,Mammal,Mammal,False,3,0,0,0,0.0
openimages:189:514:150,openimages,189,514,Jeans,Jeans,False,5,0,0,0,0.0
openimages:18:228:16,openimages,18,228,Woman,Woman,False,5,0,0,0,0.0
openimages:190:333:151,openimages,190,333,Girl,Girl,False,20,0,0,0,0.0
openimages:191:434:152,openimages,191,434,Footwear,Footwear,False,19,0,0,0,0.0
openimages:193:571:154,openimages,193,571,Car,Car,False,3,0,0,0,0.0
openimages:203:446:160,openimages,203,446,Dog,Dog,False,1,0,0,0,0.0
openimages:204:573:161,openimages,204,573,Human hand,Human hand,False,6,0,0,0,0.0
openimages:208:126:165,openimages,208,126,Beetle,Beetle,False,1,0,0,0,0.0
openimages:20:253:18,openimages,20,253,Human hair,Human hair,False,23,0,0,0,0.0
openimages:210:177:167,openimages,210,177,Human body,Human body,False,15,0,0,0,0.0
openimages:212:177:169,openimages,212,177,Human body,Human body,False,7,0,0,0,0.0
openimages:213:103:170,openimages,213,103,Land vehicle,Land vehicle,False,21,0,0,0,0.0
openimages:214:564:171,openimages,214,564,Lily,Lily,False,1,0,0,0,0.0
openimages:217:49:174,openimages,217,49,Fast food,Fast food,False,11,0,0,0,0.0
openimages:218:3:175,openimages,218,3,Magpie,Magpie,False,1,0,0,0,0.0
openimages:21:69:19,openimages,21,69,Person,Person,False,3,0,0,0,0.0
openimages:220:228:177,openimages,220,228,Woman,Woman,False,12,0,0,0,0.0
openimages:224:343:179,openimages,224,343,Polar bear,Polar bear,False,9,0,0,0,0.0
openimages:225:103:180,openimages,225,103,Land vehicle,Land vehicle,False,8,0,0,0,0.0
openimages:229:515:183,openimages,229,515,Flowerpot,Flowerpot,False,21,0,0,0,0.0
openimages:22:462:20,openimages,22,462,Building,Building,False,2,0,0,0,0.0
openimages:230:5:184,openimages,230,5,Football,Football,False,2,0,0,0,0.0
openimages:232:434:185,openimages,232,434,Footwear,Footwear,False,26,0,0,0,0.0
openimages:233:531:186,openimages,233,531,Salad,Salad,False,3,0,0,0,0.0
openimages:238:221:188,openimages,238,221,Human leg,Human leg,False,9,0,0,0,0.0
openimages:243:334:192,openimages,243,334,Plant,Plant,False,1,0,0,0,0.0
openimages:245:433:194,openimages,245,433,Clothing,Clothing,False,12,0,0,0,0.0
openimages:250:253:196,openimages,250,253,Human hair,Human hair,False,18,0,0,0,0.0
openimages:253:552:198,openimages,253,552,Tire,Tire,False,7,0,0,0,0.0
openimages:25:468:23,openimages,25,468,Airplane,Airplane,False,2,0,0,0,0.0
openimages:261:69:206,openimages,261,69,Person,Person,False,12,0,0,0,0.0
openimages:262:334:207,openimages,262,334,Plant,Plant,False,5,0,0,0,0.0
openimages:264:409:209,openimages,264,409,Wheel,Wheel,False,11,0,0,0,0.0
openimages:265:446:210,openimages,265,446,Dog,Dog,False,3,0,0,0,0.0
openimages:267:193:211,openimages,267,193,Food,Food,False,3,0,0,0,0.0
openimages:268:228:212,openimages,268,228,Woman,Woman,False,29,0,0,0,0.0
openimages:277:62:220,openimages,277,62,Brown bear,Brown bear,False,4,0,0,0,0.0
openimages:279:103:222,openimages,279,103,Land vehicle,Land vehicle,False,36,0,0,0,0.0
openimages:27:571:24,openimages,27,571,Car,Car,False,13,0,0,0,0.0
openimages:280:334:223,openimages,280,334,Plant,Plant,False,2,0,0,0,0.0
openimages:281:434:224,openimages,281,434,Footwear,Footwear,False,35,0,0,0,0.0
openimages:285:150:226,openimages,285,150,Dice,Dice,False,1,0,0,0,0.0
openimages:286:177:227,openimages,286,177,Human body,Human body,False,26,0,0,0,0.0
openimages:288:203:229,openimages,288,203,Fruit,Fruit,False,20,0,0,0,0.0
openimages:289:334:230,openimages,289,334,Plant,Plant,False,9,0,0,0,0.0
openimages:28:409:25,openimages,28,409,Wheel,Wheel,False,22,0,0,0,0.0
openimages:293:337:233,openimages,293,337,Sports equipment,Sports equipment,False,57,0,0,0,0.0
openimages:295:49:235,openimages,295,49,Fast food,Fast food,False,10,0,0,0,0.0
openimages:296:292:236,openimages,296,292,Human head,Human head,False,9,0,0,0,0.0
openimages:299:285:238,openimages,299,285,Knife,Knife,False,7,0,0,0,0.0
openimages:300:468:239,openimages,300,468,Airplane,Airplane,False,13,0,0,0,0.0
openimages:302:446:240,openimages,302,446,Dog,Dog,False,2,0,0,0,0.0
openimages:303:22:241,openimages,303,22,Bird,Bird,False,8,0,0,0,0.0
openimages:307:69:243,openimages,307,69,Person,Person,False,60,0,0,0,0.0
openimages:309:91:245,openimages,309,91,Carnivore,Carnivore,False,4,0,0,0,0.0
openimages:30:561:27,openimages,30,561,Animal,Animal,False,2,0,0,0,0.0
openimages:312:354:248,openimages,312,354,Raven,Raven,False,1,0,0,0,0.0
openimages:314:51:250,openimages,314,51,Boy,Boy,False,14,0,0,0,0.0
openimages:315:521:251,openimages,315,521,Dragonfly,Dragonfly,False,1,0,0,0,0.0
openimages:318:456:254,openimages,318,456,Flower,Flower,False,6,0,0,0,0.0
openimages:31:370:28,openimages,31,370,Squirrel,Squirrel,False,1,0,0,0,0.0
openimages:320:446:256,openimages,320,446,Dog,Dog,False,2,0,0,0,0.0
openimages:322:29:257,openimages,322,29,Doll,Doll,False,2,0,0,0,0.0
openimages:323:433:258,openimages,323,433,Clothing,Clothing,False,39,0,0,0,0.0
openimages:324:571:259,openimages,324,571,Car,Car,False,11,0,0,0,0.0
openimages:325:462:260,openimages,325,462,Building,Building,False,2,0,0,0,0.0
openimages:328:298:263,openimages,328,298,Mammal,Mammal,False,1,0,0,0,0.0
openimages:330:103:264,openimages,330,103,Land vehicle,Land vehicle,False,19,0,0,0,0.0
openimages:334:462:267,openimages,334,462,Building,Building,False,3,0,0,0,0.0
openimages:335:38:268,openimages,335,38,Ball,Ball,False,1,0,0,0,0.0
openimages:336:314:269,openimages,336,314,Baked goods,Baked goods,False,9,0,0,0,0.0
openimages:337:333:270,openimages,337,333,Girl,Girl,False,52,0,0,0,0.0
openimages:339:391:271,openimages,339,391,Tree,Tree,False,4,0,0,0,0.0
openimages:340:69:272,openimages,340,69,Person,Person,False,10,0,0,0,0.0
openimages:341:561:273,openimages,341,561,Animal,Animal,False,12,0,0,0,0.0
openimages:344:253:274,openimages,344,253,Human hair,Human hair,False,57,0,0,0,0.0
openimages:350:456:277,openimages,350,456,Flower,Flower,False,7,0,0,0,0.0
openimages:357:298:282,openimages,357,298,Mammal,Mammal,False,10,0,0,0,0.0
openimages:359:520:284,openimages,359,520,Cake,Cake,False,2,0,0,0,0.0
openimages:35:409:32,openimages,35,409,Wheel,Wheel,False,6,0,0,0,0.0
openimages:360:103:285,openimages,360,103,Land vehicle,Land vehicle,False,14,0,0,0,0.0
openimages:361:404:286,openimages,361,404,Vehicle,Vehicle,False,6,0,0,0,0.0
openimages:362:409:287,openimages,362,409,Wheel,Wheel,False,29,0,0,0,0.0
openimages:363:69:288,openimages,363,69,Person,Person,False,3,0,0,0,0.0
openimages:364:193:289,openimages,364,193,Food,Food,False,34,0,0,0,0.0
openimages:365:409:290,openimages,365,409,Wheel,Wheel,False,25,0,0,0,0.0
openimages:368:504:293,openimages,368,504,Vegetable,Vegetable,False,23,0,0,0,0.0
openimages:370:177:295,openimages,370,177,Human body,Human body,False,5,0,0,0,0.0
openimages:371:208:296,openimages,371,208,Tart,Tart,False,6,0,0,0,0.0
openimages:372:177:297,openimages,372,177,Human body,Human body,False,3,0,0,0,0.0
openimages:373:504:298,openimages,373,504,Vegetable,Vegetable,False,7,0,0,0,0.0
openimages:374:435:299,openimages,374,435,Lemon,Lemon,False,32,0,0,0,0.0
openimages:378:177:302,openimages,378,177,Human body,Human body,False,6,0,0,0,0.0
openimages:382:391:305,openimages,382,391,Tree,Tree,False,17,0,0,0,0.0
openimages:383:391:306,openimages,383,391,Tree,Tree,False,2,0,0,0,0.0
openimages:385:1:308,openimages,385,1,Tortoise,Tortoise,False,15,0,0,0,0.0
openimages:390:22:311,openimages,390,22,Bird,Bird,False,2,0,0,0,0.0
openimages:393:69:312,openimages,393,69,Person,Person,False,3,0,0,0,0.0
openimages:397:444:315,openimages,397,444,Waste container,Waste container,False,1,0,0,0,0.0
openimages:400:184:318,openimages,400,184,Office supplies,Office supplies,False,61,0,0,0,0.0
openimages:401:398:319,openimages,401,398,Bowling equipment,Bowling equipment,False,37,0,0,0,0.0
openimages:404:298:321,openimages,404,298,Mammal,Mammal,False,3,0,0,0,0.0
openimages:405:49:322,openimages,405,49,Fast food,Fast food,False,20,0,0,0,0.0
openimages:410:502:325,openimages,410,502,Human face,Human face,False,24,0,0,0,0.0
openimages:411:275:326,openimages,411,275,Jaguar (Animal),Jaguar (Animal),False,1,0,0,0,0.0
openimages:412:571:327,openimages,412,571,Car,Car,False,9,0,0,0,0.0
openimages:413:253:328,openimages,413,253,Human hair,Human hair,False,9,0,0,0,0.0
openimages:41:571:37,openimages,41,571,Car,Car,False,1,0,0,0,0.0
openimages:421:232:332,openimages,421,232,Goldfish,Goldfish,False,8,0,0,0,0.0
openimages:423:438:333,openimages,423,438,Frog,Frog,False,2,0,0,0,0.0
openimages:425:298:334,openimages,425,298,Mammal,Mammal,False,9,0,0,0,0.0
openimages:429:193:336,openimages,429,193,Food,Food,False,9,0,0,0,0.0
openimages:432:504:337,openimages,432,504,Vegetable,Vegetable,False,21,0,0,0,0.0
openimages:433:409:338,openimages,433,409,Wheel,Wheel,False,10,0,0,0,0.0
openimages:436:22:341,openimages,436,22,Bird,Bird,False,5,0,0,0,0.0
openimages:437:69:342,openimages,437,69,Person,Person,False,6,0,0,0,0.0
openimages:441:253:346,openimages,441,253,Human hair,Human hair,False,15,0,0,0,0.0
openimages:445:103:349,openimages,445,103,Land vehicle,Land vehicle,False,4,0,0,0,0.0
openimages:446:219:350,openimages,446,219,Guitar,Guitar,False,3,0,0,0,0.0
openimages:449:173:351,openimages,449,173,Harbor seal,Harbor seal,False,4,0,0,0,0.0
openimages:44:91:40,openimages,44,91,Carnivore,Carnivore,False,7,0,0,0,0.0
openimages:453:456:354,openimages,453,456,Flower,Flower,False,6,0,0,0,0.0
openimages:454:193:355,openimages,454,193,Food,Food,False,12,0,0,0,0.0
openimages:455:479:356,openimages,455,479,Butterfly,Butterfly,False,1,0,0,0,0.0
openimages:457:404:358,openimages,457,404,Vehicle,Vehicle,False,2,0,0,0,0.0
openimages:459:298:360,openimages,459,298,Mammal,Mammal,False,1,0,0,0,0.0
openimages:467:446:366,openimages,467,446,Dog,Dog,False,1,0,0,0,0.0
openimages:468:69:367,openimages,468,69,Person,Person,False,3,0,0,0,0.0
openimages:46:49:41,openimages,46,49,Fast food,Fast food,False,13,0,0,0,0.0
openimages:471:424:370,openimages,471,424,Helicopter,Helicopter,False,4,0,0,0,0.0
openimages:472:148:371,openimages,472,148,Human mouth,Human mouth,False,8,0,0,0,0.0
openimages:479:532:378,openimages,479,532,Parrot,Parrot,False,1,0,0,0,0.0
openimages:47:193:42,openimages,47,193,Food,Food,False,10,0,0,0,0.0
openimages:481:433:380,openimages,481,433,Clothing,Clothing,False,22,0,0,0,0.0
openimages:484:97:383,openimages,484,97,Chair,Chair,False,47,0,0,0,0.0
openimages:487:22:385,openimages,487,22,Bird,Bird,False,8,0,0,0,0.0
openimages:488:103:386,openimages,488,103,Land vehicle,Land vehicle,False,1,0,0,0,0.0
openimages:489:271:387,openimages,489,271,Wood-burning stove,Wood-burning stove,False,7,0,0,0,0.0
openimages:490:404:388,openimages,490,404,Vehicle,Vehicle,False,11,0,0,0,0.0
