family_id,dataset,image_id,category_id,category_name,prompt,is_prompt_absent,num_candidates,num_rejected,fp,tp,fdp
coco:1000:50:29,coco,1000,50,spoon,a spoon in the scene,True,102,0,0,0,0.0
coco:100238:15:2554,coco,100238,15,bench,a close-up of a bench,True,14,0,0,0,0.0
coco:100238:23:2553,coco,100238,23,bear,a small bear near the center,True,8,0,0,0,0.0
coco:100238:44:2552,coco,100238,44,bottle,a visible bottle in the scene,False,22,0,0,0,0.0
coco:100274:3:2555,coco,100274,3,car,a car object,False,64,0,0,0,0.0
coco:100274:54:2557,coco,100274,54,sandwich,a sandwich in the scene,True,21,0,0,0,0.0
coco:100283:39:2560,coco,100283,39,baseball bat,a baseball bat in the scene,True,63,0,0,0,0.0
coco:100428:32:2561,coco,100428,32,tie,a photo of a tie,False,39,0,0,0,0.0
coco:100428:33:2563,coco,100428,33,suitcase,a small suitcase near the center,True,42,0,0,0,0.0
coco:100489:14:2566,coco,100489,14,parking meter,a parking meter in the scene,True,7,0,0,0,0.0
coco:100489:53:2565,coco,100489,53,apple,a close-up of a apple,True,9,0,0,0,0.0
coco:100510:1:2567,coco,100510,1,person,a person object,False,12,0,0,0,0.0
coco:100510:59:2568,coco,100510,59,pizza,a pizza in the scene,True,36,0,0,0,0.0
coco:100510:5:2569,coco,100510,5,airplane,a close-up of a airplane,True,4,0,0,0,0.0
coco:100582:48:2570,coco,100582,48,fork,a photo of a fork,False,21,0,0,0,0.0
coco:100624:56:2574,coco,100624,56,broccoli,a small broccoli near the center,True,145,0,0,0,0.0
coco:100624:77:2573,coco,100624,77,cell phone,a photo of a cell phone,False,13,0,0,0,0.0
coco:100723:14:2578,coco,100723,14,parking meter,a parking meter in the scene,True,62,0,0,0,0.0
coco:10092:77:304,coco,10092,77,cell phone,a small cell phone near the center,True,33,0,0,0,0.0
coco:101022:15:2580,coco,101022,15,bench,a photo containing a bench,True,19,0,0,0,0.0
coco:101022:85:2579,coco,101022,85,clock,a close-up of a clock,True,14,0,0,0,0.0
coco:101068:3:2582,coco,101068,3,car,a car in the scene,True,42,0,0,0,0.0
coco:101068:8:2583,coco,101068,8,truck,a small truck near the center,True,53,0,0,0,0.0
coco:101420:25:2586,coco,101420,25,giraffe,a photo containing a giraffe,True,11,0,0,0,0.0
coco:101420:2:2585,coco,101420,2,bicycle,a small bicycle near the center,True,21,0,0,0,0.0
coco:101762:80:2588,coco,101762,80,toaster,a close-up of a toaster,True,5,0,0,0,0.0
coco:101780:25:2590,coco,101780,25,giraffe,a giraffe object,False,17,0,0,0,0.0
coco:101884:70:2597,coco,101884,70,toilet,a close-up of a toilet,True,11,0,0,0,0.0
