mondrian_group,sum_phi,n_null,min_null
a small potted plant near the center,168.62853030755304,227,50
a banana object,123.91427097011048,211,50
a small sink near the center,150.32514873998633,210,50
a donut in the scene,185.2824451194507,204,50
a spoon in the scene,129.89250091498442,171,50
a stop sign in the scene,138.60051897435696,168,50
a broccoli object,122.59107246234647,146,50
a mouse in the scene,91.90549322645722,130,50
a small broccoli near the center,80.44035189327212,117,50
a small spoon near the center,75.12734578089147,116,50
a dog in the scene,97.21661118965285,108,50
a small dog near the center,90.75129919480914,104,50
a small train near the center,90.68061106001863,102,50
a backpack in the scene,107.93474632045435,101,50
a small carrot near the center,76.13616931091761,99,50
the tie in this image,58.73654960064177,99,50
a car in the scene,87.80474971563625,98,50
a truck in the scene,81.07778793549207,97,50
a small tennis racket near the center,80.71678903957634,97,50
a visible book in the scene,84.36160251286059,94,50
a visible person in the scene,105.18094528105003,93,50
a photo containing a broccoli,105.9316148425702,92,50
a small toothbrush near the center,69.36313014800658,85,50
a close-up of a spoon,81.43940128802664,83,50
a small keyboard near the center,70.49265295314223,83,50
a traffic light in the scene,68.78865573258423,82,50
a small handbag near the center,80.92266173906873,79,50
a small parking meter near the center,68.63007493944274,79,50
a small stop sign near the center,59.88599338606714,79,50
a cell phone in the scene,79.36351083553824,78,50
a book in the scene,64.32571919167458,78,50
a small fork near the center,63.43785225214075,78,50
a close-up of a backpack,60.45302007892915,77,50
a photo of a cup,51.22928533032541,77,50
a small laptop near the center,50.260872121910026,75,50
a photo containing a skateboard,78.75503734661778,70,50
a small banana near the center,65.00695025797651,70,50
a toilet in the scene,63.790951748187645,70,50
a small tie near the center,63.54304653230585,70,50
a small kite near the center,53.658707769880095,68,50
a small horse near the center,50.209585134198335,68,50
a visible chair in the scene,70.42246556293568,67,50
a book object,57.04280430206905,67,50
a snowboard in the scene,58.05151423205309,64,50
a wine glass in the scene,60.503054627701275,63,50
a close-up of a baseball glove,75.89425500614173,61,50
the donut in this image,45.367426118778845,61,50
a small toaster near the center,54.431745018171505,57,50
a photo containing a carrot,61.01458119799369,53,50
a small cow near the center,50.432578037865675,52,50
a bird object,45.799296479141766,51,50
a baseball bat in the scene,46.64081023636434,50,50
a motorcycle in the scene,45.7212708663928,48,50
a small boat near the center,47.497962047335605,47,50
a baseball glove in the scene,42.84921318212119,46,50
a photo containing a spoon,41.56596909523869,46,50
a visible broccoli in the scene,36.358907665944216,46,50
a photo of a banana,31.24164484111104,46,50
a small mouse near the center,37.299178900022916,45,50
a microwave in the scene,43.099851735997994,44,50
a bench in the scene,48.65299986782504,43,50
a close-up of a scissors,37.58979803028086,41,50
a photo containing a umbrella,60.467544327548524,40,50
a small elephant near the center,49.5079820596562,40,50
a photo containing a chair,36.456084642856894,40,50
a small bear near the center,35.302664116818775,40,50
a laptop in the scene,32.81445561142664,40,50
a small refrigerator near the center,36.859716742542176,39,50
a photo containing a sink,43.27950911912199,37,50
a photo of a toilet,37.40707847822854,37,50
a bed in the scene,45.3545720577595,36,50
a keyboard in the scene,48.94921304882264,35,50
a handbag in the scene,47.75394499623947,35,50
a photo containing a donut,40.59000706795242,35,50
a photo of a mouse,24.775665635148016,35,50
a small bowl near the center,36.75473178563996,34,50
the person in this image,34.13778600890108,34,50
a photo containing a bus,55.0735179583484,32,50
a small toilet near the center,28.927354132111184,32,50
a small giraffe near the center,42.517934067783536,31,50
a close-up of a tie,41.48611431395198,31,50
a photo containing a refrigerator,55.08525564391242,30,50
a oven in the scene,21.632047695458812,30,50
the surfboard in this image,41.99663735275227,29,50
a small skis near the center,28.754143523654143,29,50
a couch in the scene,28.582562558607894,29,50
a photo containing a potted plant,46.268996885126775,28,50
a small hair drier near the center,29.816717709004674,28,50
a knife object,26.01179912583163,28,50
a photo containing a fire hydrant,63.20515699005742,27,50
a sink in the scene,32.002208150640875,27,50
a photo of a donut,33.29947410992888,26,50
a visible potted plant in the scene,24.68357443410964,26,50
a small donut near the center,33.965030254270026,25,50
a photo containing a banana,28.786629728871784,25,50
a close-up of a zebra,27.620281048640585,25,50
a photo of a remote,26.138983784536556,25,50
the cell phone in this image,30.543394334158343,23,50
a suitcase in the scene,28.581325673507433,23,50
a close-up of a elephant,42.5892412085131,22,50
a close-up of a truck,40.95994491765542,21,50
a close-up of a cell phone,20.548895897403703,21,50
a close-up of a bowl,18.346531545485796,21,50
a close-up of a boat,38.17381590041435,20,50
a small clock near the center,28.7579670154022,20,50
a photo containing a apple,26.459325514567062,20,50
a orange object,25.62852944536114,20,50
a tie object,16.24065622417156,20,50
a close-up of a snowboard,35.716470425808545,19,50
a photo containing a giraffe,23.35257527972193,19,50
a visible kite in the scene,20.784335569225554,19,50
a visible suitcase in the scene,17.848607246857753,19,50
a small oven near the center,21.967759003695697,18,50
a close-up of a bear,20.674741031448903,18,50
the potted plant in this image,17.58140945907031,18,50
a small scissors near the center,29.635061757111337,17,50
a photo containing a knife,21.72428848560602,17,50
a photo of a clock,21.02097184566496,17,50
a giraffe in the scene,18.720343558270525,17,50
a fire hydrant in the scene,28.350452806202103,16,50
a photo containing a bird,20.34954163039588,16,50
a close-up of a bus,33.76651086675125,15,50
a visible truck in the scene,22.06869778547405,15,50
a close-up of a hair drier,20.73850278107416,15,50
a close-up of a toothbrush,17.341457544203344,15,50
a close-up of a car,17.315034351686485,15,50
a close-up of a mouse,17.025438740425496,15,50
a visible knife in the scene,16.204243053699116,15,50
a photo containing a skis,30.230177229895464,14,50
a photo containing a toilet,23.452238773101595,14,50
a close-up of a sandwich,23.147299628801427,14,50
a photo of a sports ball,18.40777466371972,14,50
a close-up of a cake,17.987203941065456,14,50
a tv in the scene,16.935010850282744,14,50
